reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts
learned,601,16,32,5,0.967041015625,0.0,0.0,0.0,0.26186293363571167,0.46688252687454224,0.4189729690551758
learned,601,16,32,6,0.9765625,0.0,0.0,0.0,0.29775741696357727,0.5221048593521118,0.466904878616333
learned,601,16,32,7,0.97509765625,0.0,0.0,0.0,0.3305436372756958,0.5689294338226318,0.5102244019508362
learned,601,16,32,8,0.973876953125,0.0,0.0,0.0,0.36160513758659363,0.6075522899627686,0.5465928316116333
learned,601,16,32,9,0.977783203125,0.0,0.0,0.0,0.39006906747817993,0.6411437392234802,0.5783483386039734
learned,601,16,32,10,0.9794921875,0.0458984375,0.0458984375,0.044677734375,0.41616952419281006,0.661914587020874,0.6085382699966431
learned,601,16,32,11,0.978515625,0.226806640625,0.22509765625,0.22216796875,0.4415830671787262,0.6612908244132996,0.6346531510353088
learned,601,16,32,12,0.978271484375,0.516845703125,0.513916015625,0.50927734375,0.46294355392456055,0.6451146006584167,0.6589182615280151
learned,601,16,32,13,0.978515625,0.833740234375,0.82861328125,0.814453125,0.48525306582450867,0.6243981122970581,0.6805177330970764
learned,601,16,32,14,0.983154296875,0.958251953125,0.953857421875,0.932373046875,0.5058040618896484,0.6307000517845154,0.7012104988098145
learned,601,16,32,15,0.984130859375,0.997802734375,0.992919921875,0.968017578125,0.5245678424835205,0.6454285979270935,0.7182912230491638
learned,601,16,32,16,0.98291015625,1.0,0.992919921875,0.9599609375,0.5432521104812622,0.6624141335487366,0.7347515225410461
learned,601,16,32,17,0.983154296875,0.998291015625,0.994140625,0.951416015625,0.5604783892631531,0.6802592873573303,0.7502962350845337
