num_samples,reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_ns1_atk_wts_std,adv_ns2_atk_wts_std,adv_ns3_atk_wts_std
16384,learned,601,32,64,15,0.9969686269760132,0.64410400390625,0.6287841796875,0.61309814453125,0.03724253550171852,0.04417450353503227,0.04818308725953102,0.002467285143211484,0.00958497729152441,0.00819733738899231
16384,learned,601,32,64,16,0.9970296621322632,0.61322021484375,0.60833740234375,0.58587646484375,0.03604178875684738,0.0427904948592186,0.0462007150053978,0.0023250512313097715,0.009047765284776688,0.007662041112780571
16384,learned,601,32,64,17,0.99664306640625,0.5869140625,0.5855712890625,0.55718994140625,0.0349404402077198,0.04142969474196434,0.044369909912347794,0.0021938649006187916,0.008499959483742714,0.007177802734076977
16384,learned,601,16,32,2,0.9852498769760132,0.0,0.0,0.0,0.0652935802936554,0.09657128155231476,0.11628261208534241,0.011243394576013088,0.06666505336761475,0.06903350353240967
16384,learned,601,16,32,3,0.9855753779411316,0.0,0.0,0.0,0.059433549642562866,0.10220871865749359,0.10125721991062164,0.010152691975235939,0.05436846613883972,0.02492567151784897
16384,learned,601,16,32,4,0.98724365234375,0.0,0.0,0.0,0.05533358454704285,0.09850330650806427,0.08965066075325012,0.009090518578886986,0.044117268174886703,0.009294425137341022
16384,learned,601,16,32,5,0.9866943359375,0.0,0.0,0.0,0.052101146429777145,0.09257559478282928,0.08289860934019089,0.008188464678823948,0.03641016036272049,0.007875996641814709
16384,learned,601,16,32,6,0.987548828125,0.0,0.0,0.0,0.049403250217437744,0.08652083575725555,0.07716837525367737,0.007309667766094208,0.030730830505490303,0.006753858644515276
16384,learned,601,16,32,7,0.98809814453125,0.0,0.0,0.0,0.04711546376347542,0.0807744488120079,0.07216458022594452,0.006630775053054094,0.02631296031177044,0.005925919394940138
16384,learned,601,16,32,8,0.9892374873161316,0.0,0.0,0.0,0.045063264667987823,0.07554948329925537,0.06778222322463989,0.006046835798770189,0.02288176864385605,0.0051519558764994144
16384,learned,601,16,32,9,0.9893595576286316,0.0,0.0,0.0,0.04312846437096596,0.0708552747964859,0.06391425430774689,0.0055638826452195644,0.020108884200453758,0.004548480734229088
16384,learned,601,16,32,10,0.9886678457260132,0.04736328125,0.046875,0.04656982421875,0.041414640843868256,0.06584963947534561,0.06043282896280289,0.005145307630300522,0.01771550253033638,0.004054772201925516
16384,learned,601,16,32,11,0.9887492060661316,0.20611572265625,0.2041015625,0.20172119140625,0.039887405931949615,0.060091931372880936,0.057365529239177704,0.004744633566588163,0.015208334662020206,0.003621751442551613
16384,learned,601,16,32,12,0.9899495840072632,0.51251220703125,0.5081787109375,0.50152587890625,0.03847324475646019,0.053445711731910706,0.054560594260692596,0.004348045215010643,0.011831657029688358,0.0032576427329331636
16384,learned,601,16,32,13,0.9909261465072632,0.82073974609375,0.8154296875,0.80029296875,0.03717241808772087,0.047977227717638016,0.05203663557767868,0.004054509103298187,0.007749045733362436,0.0028710109181702137
16384,learned,601,16,32,14,0.9919840693473816,0.95751953125,0.9527587890625,0.9322509765625,0.03596435859799385,0.04479804262518883,0.04975471645593643,0.003787676338106394,0.00499980291351676,0.0025914697907865047
16384,learned,601,16,32,15,0.9914347529411316,0.99676513671875,0.99114990234375,0.9652099609375,0.03482822701334953,0.042790673673152924,0.04765929654240608,0.0035176218952983618,0.0037690524477511644,0.002344718901440501
16384,learned,601,16,32,16,0.9924723505973816,0.99957275390625,0.99383544921875,0.9617919921875,0.033784255385398865,0.041234664618968964,0.04570756107568741,0.0032813388388603926,0.003452880075201392,0.0021421194542199373
16384,learned,601,16,32,17,0.992919921875,0.9986572265625,0.99298095703125,0.9500732421875,0.032782770693302155,0.039809972047805786,0.04393444210290909,0.003059593727812171,0.0032180817797780037,0.0019710250198841095
